timestamp_s,event_type,pss_at_event,actions,latency_s,details
1.262,at_desired_pose,0.0000,,,
29.129,intervention,0.3075,rotate:0.028,0.836,id=1
30.899,intervention,0.3162,rotate:0.028,0.849,id=2
32.692,intervention,0.2639,rotate:0.020,0.849,id=3
34.455,intervention,0.2911,rotate:0.024,0.836,id=4
36.261,intervention,0.3187,rotate:0.027,0.857,id=5
38.064,intervention,0.3329,rotate:0.028,0.843,id=6
39.860,intervention,0.3264,rotate:0.030,0.857,id=7
41.655,intervention,0.3272,rotate:0.028,0.850,id=8
43.425,intervention,0.3301,rotate:0.036,0.835,id=9
45.206,intervention,0.4107,rotate:0.066,0.836,id=10
46.775,intervention,0.5182,rotate:0.080,0.841,id=11
48.360,intervention,0.5194,rotate:0.080,0.848,id=12
49.927,intervention,0.5194,rotate:0.080,0.845,id=13
51.509,intervention,0.4251,rotate:0.048,0.863,id=14
53.265,intervention,0.3233,rotate:0.030,0.818,id=15
55.034,intervention,0.3553,rotate:0.035,0.823,id=16
56.839,intervention,0.3434,rotate:0.025,0.864,id=17
62.115,intervention,0.2791,rotate:0.024,0.850,id=18
63.919,intervention,0.3056,rotate:0.023,0.850,id=19
65.714,intervention,0.2871,rotate:0.025,0.840,id=20
67.515,intervention,0.3234,rotate:0.029,0.844,id=21
69.317,intervention,0.3284,rotate:0.030,0.860,id=22
71.120,intervention,0.3257,rotate:0.028,0.856,id=23
72.892,intervention,0.3292,rotate:0.031,0.830,id=24
74.669,intervention,0.3301,rotate:0.033,0.831,id=25
76.487,intervention,0.3423,rotate:0.038,0.866,id=26
78.249,intervention,0.3434,rotate:0.035,0.823,id=27
80.023,intervention,0.3372,rotate:0.029,0.840,id=28
81.800,intervention,0.3351,rotate:0.034,0.831,id=29
83.613,intervention,0.3320,rotate:0.028,0.844,id=30
85.391,intervention,0.3192,rotate:0.034,0.825,id=31
87.194,intervention,0.3229,rotate:0.029,0.840,id=32
88.989,intervention,0.3240,rotate:0.032,0.865,id=33
90.763,intervention,0.3294,rotate:0.033,0.846,id=34
92.551,intervention,0.3347,rotate:0.030,0.846,id=35
94.299,intervention,0.3391,rotate:0.035,0.824,id=36
96.089,intervention,0.3433,rotate:0.034,0.834,id=37
97.893,intervention,0.3417,rotate:0.030,0.851,id=38
99.715,intervention,0.3299,rotate:0.032,0.861,id=39
101.467,intervention,0.2908,rotate:0.042,0.821,id=40
111.529,intervention,0.3127,raise:0.008,0.847,id=41
126.998,intervention,0.2633,raise:0.008,0.853,id=42
128.764,intervention,0.2705,rotate:0.022,0.843,id=43
131.910,intervention,0.2557,raise:0.008,0.832,id=44
136.818,intervention,0.2624,rotate:0.022,0.845,id=45
138.581,intervention,0.2664,raise:0.008,0.830,id=46
140.380,intervention,0.2604,rotate:0.022,0.855,id=47
142.153,intervention,0.3491,rotate:0.063,0.834,id=48
143.752,intervention,0.5181,rotate:0.080,0.861,id=49
145.356,intervention,0.5162,rotate:0.080,0.842,id=50
146.956,intervention,0.5132,rotate:0.065,0.861,id=51
148.685,intervention,0.3823,rotate:0.040,0.834,id=52
150.457,intervention,0.3683,rotate:0.040,0.821,id=53
152.248,intervention,0.3710,rotate:0.041,0.847,id=54
154.039,intervention,0.3749,rotate:0.043,0.847,id=55
155.814,intervention,0.3613,rotate:0.038,0.833,id=56
168.095,intervention,0.3314,rotate:0.030,0.845,id=57
169.864,intervention,0.3343,rotate:0.031,0.834,id=58
171.626,intervention,0.3153,raise:0.008,0.840,id=59
212.287,intervention,0.3201,rotate:0.022,0.829,id=60
214.066,intervention,0.3315,rotate:0.072,0.847,id=61
214.217,user_abort,0.3802,,,
