timestamp_s,event_type,pss_at_event,actions,latency_s,details
1.474,at_desired_pose,0.0000,,,
24.407,intervention,0.3023,rotate:0.044,0.841,id=1
26.177,intervention,0.3799,rotate:0.054,0.837,id=2
27.957,intervention,0.3545,rotate:0.050,0.833,id=3
29.747,intervention,0.3275,rotate:0.051,0.843,id=4
31.518,intervention,0.3729,rotate:0.052,0.826,id=5
33.300,intervention,0.3640,rotate:0.050,0.819,id=6
35.084,intervention,0.3334,rotate:0.053,0.840,id=7
36.853,intervention,0.3819,rotate:0.053,0.817,id=8
38.659,intervention,0.3457,rotate:0.045,0.847,id=9
40.449,intervention,0.3149,rotate:0.041,0.841,id=10
42.241,intervention,0.5008,rotate:0.100,0.833,id=11
43.831,intervention,0.5178,rotate:0.100,0.841,id=12
45.428,intervention,0.5172,rotate:0.100,0.839,id=13
47.008,intervention,0.5178,rotate:0.100,0.835,id=14
48.586,intervention,0.5177,rotate:0.100,0.821,id=15
50.143,intervention,0.5179,rotate:0.100,0.811,id=16
51.708,intervention,0.5149,rotate:0.097,0.823,id=17
53.305,intervention,0.5193,rotate:0.100,0.844,id=18
54.882,intervention,0.5193,rotate:0.100,0.834,id=19
56.466,intervention,0.5193,rotate:0.100,0.837,id=20
58.050,intervention,0.4313,rotate:0.061,0.819,id=21
59.856,intervention,0.4172,rotate:0.062,0.838,id=22
61.635,intervention,0.4284,rotate:0.063,0.820,id=23
63.418,intervention,0.4275,rotate:0.063,0.820,id=24
65.222,intervention,0.4254,rotate:0.063,0.839,id=25
67.008,intervention,0.4184,rotate:0.060,0.842,id=26
68.800,intervention,0.4096,rotate:0.064,0.832,id=27
70.622,intervention,0.4025,rotate:0.060,0.851,id=28
72.418,intervention,0.3599,rotate:0.030,0.840,id=29
75.818,intervention,0.4104,rotate:0.081,0.838,id=30
77.399,intervention,0.4581,rotate:0.071,0.816,id=31
79.184,intervention,0.3871,rotate:0.089,0.816,id=32
80.749,intervention,0.5163,rotate:0.100,0.818,id=33
82.333,intervention,0.5097,rotate:0.077,0.836,id=34
84.116,intervention,0.4027,rotate:0.060,0.834,id=35
85.898,intervention,0.3642,rotate:0.043,0.815,id=36
87.671,intervention,0.2990,rotate:0.048,0.813,id=37
89.462,intervention,0.3021,rotate:0.039,0.832,id=38
91.252,intervention,0.3352,rotate:0.048,0.839,id=39
93.081,intervention,0.3476,rotate:0.043,0.853,id=40
94.865,intervention,0.3007,rotate:0.042,0.814,id=41
97.207,intervention,0.3249,rotate:0.048,0.822,id=42
98.881,intervention,0.5194,rotate:0.100,0.823,id=43
100.454,intervention,0.5193,rotate:0.100,0.825,id=44
102.050,intervention,0.5193,rotate:0.100,0.838,id=45
103.631,intervention,0.5195,rotate:0.100,0.836,id=46
105.205,intervention,0.5181,rotate:0.094,0.820,id=47
106.948,intervention,0.2895,raise:0.008,0.853,id=48
114.571,intervention,0.4756,rotate:0.100,0.828,id=49
116.141,intervention,0.5198,rotate:0.100,0.829,id=50
117.700,intervention,0.4100,rotate:0.035,0.813,id=51
130.312,intervention,0.4391,rotate:0.074,0.835,id=52
132.112,intervention,0.4216,rotate:0.058,0.811,id=53
133.881,intervention,0.4279,rotate:0.066,0.822,id=54
135.681,intervention,0.4030,rotate:0.050,0.834,id=55
137.451,intervention,0.3658,rotate:0.044,0.822,id=56
139.248,intervention,0.3869,rotate:0.044,0.839,id=57
141.016,intervention,0.3590,rotate:0.048,0.821,id=58
142.816,intervention,0.3217,rotate:0.040,0.839,id=59
144.630,intervention,0.3276,rotate:0.041,0.868,id=60
146.413,intervention,0.2933,rotate:0.038,0.845,id=61
148.177,intervention,0.2767,rotate:0.037,0.820,id=62
149.954,intervention,0.2599,rotate:0.030,0.829,id=63
153.331,intervention,0.2675,rotate:0.038,0.822,id=64
159.695,intervention,0.3136,rotate:0.054,0.844,id=65
161.477,intervention,0.4434,rotate:0.082,0.822,id=66
163.070,intervention,0.4487,rotate:0.080,0.829,id=67
164.671,intervention,0.4616,rotate:0.082,0.844,id=68
166.264,intervention,0.4678,rotate:0.089,0.825,id=69
167.865,intervention,0.4888,rotate:0.091,0.840,id=70
169.481,intervention,0.4971,rotate:0.094,0.855,id=71
171.046,intervention,0.5040,rotate:0.097,0.836,id=72
172.648,intervention,0.5030,rotate:0.097,0.841,id=73
174.227,intervention,0.4914,rotate:0.086,0.833,id=74
175.793,intervention,0.4772,rotate:0.085,0.818,id=75
177.379,intervention,0.4746,rotate:0.085,0.842,id=76
178.931,intervention,0.4652,rotate:0.083,0.808,id=77
180.513,intervention,0.4709,rotate:0.085,0.837,id=78
182.122,intervention,0.4692,rotate:0.081,0.842,id=79
183.705,intervention,0.3958,rotate:0.038,0.815,id=80
199.605,intervention,0.3976,rotate:0.058,0.839,id=81
201.383,intervention,0.3940,rotate:0.059,0.835,id=82
203.194,intervention,0.3807,rotate:0.052,0.851,id=83
204.951,intervention,0.3373,rotate:0.049,0.826,id=84
211.868,intervention,0.3081,rotate:0.038,0.828,id=85
213.836,intervention,0.3789,rotate:0.045,0.821,id=86
214.599,intervention,0.3605,,,id=None
215.614,intervention,0.6453,rotate:-0.062,0.832,id=87
218.398,intervention,0.3217,rotate:0.039,0.834,id=88
220.187,intervention,0.2931,rotate:0.028,0.822,id=89
221.970,intervention,0.2940,rotate:0.055,0.822,id=90
223.751,intervention,0.4013,rotate:0.063,0.836,id=91
225.551,intervention,0.4039,rotate:0.064,0.836,id=92
227.320,intervention,0.4142,rotate:0.066,0.838,id=93
231.352,intervention,0.4180,,,id=None
232.448,intervention,0.4734,rotate:-0.100,1.105,id=94
233.496,intervention,0.4513,,,id=None
233.834,user_abort,0.4562,,,
