timestamp_s,trunk_angle_deg,trunk_score,cervical_cm,cervical_score,lean_score,pss_raw,pss_smooth
90.416,4.72,0.0000,0.74,0.0441,0.0637,0.0753,0.0753
90.546,4.53,0.0522,0.74,0.0445,0.0338,0.0749,0.0757
90.647,4.73,0.1343,0.75,0.0451,0.0213,0.0778,0.0759
90.755,4.85,0.1180,0.63,0.0376,0.0200,0.0783,0.0766
90.877,5.88,0.0000,0.19,0.0114,0.0049,0.0757,0.0766
90.984,6.18,0.0000,0.29,0.0174,0.0005,0.0741,0.0763
91.087,6.48,0.0000,0.53,0.0318,0.0000,0.0715,0.0757
91.202,6.04,0.0000,0.43,0.0260,0.0000,0.0725,0.0753
91.339,5.99,0.0000,0.52,0.0311,0.0130,0.0728,0.0748
91.439,6.05,0.0000,0.53,0.0316,0.0082,0.0723,0.0745
91.574,5.80,0.0262,0.71,0.0429,0.0211,0.0729,0.0742
91.687,5.89,0.0000,0.88,0.0526,0.0197,0.0696,0.0736
91.824,6.25,0.0000,0.98,0.0587,0.0204,0.0686,0.0722
91.927,6.41,0.0000,1.00,0.0598,0.0085,0.0671,0.0714
92.047,6.78,0.0000,0.97,0.0583,0.0027,0.0664,0.0705
92.164,6.93,0.0000,0.81,0.0484,0.0115,0.0692,0.0701
92.298,6.76,0.0000,0.86,0.0517,0.0122,0.0686,0.0697
92.432,6.19,0.0220,1.05,0.0630,0.0251,0.0690,0.0688
92.557,6.27,0.0581,0.98,0.0590,0.0220,0.0711,0.0686
92.701,5.91,0.0226,0.60,0.0361,0.0673,0.0780,0.0692
92.829,5.97,0.0396,0.80,0.0480,0.0232,0.0724,0.0698
92.958,5.91,0.0741,0.94,0.0566,0.0179,0.0722,0.0704
93.058,5.69,0.0904,0.97,0.0583,0.0189,0.0729,0.0710
93.186,5.23,0.0974,0.89,0.0537,0.0312,0.0754,0.0719
93.303,5.32,0.0918,0.82,0.0491,0.0497,0.0777,0.0728
93.423,5.20,0.0940,0.91,0.0543,0.0439,0.0762,0.0740
93.554,5.08,0.0893,0.64,0.0382,0.0716,0.0815,0.0751
93.663,5.19,0.0783,0.53,0.0318,0.0679,0.0818,0.0759
93.804,5.44,0.0326,0.41,0.0248,0.0078,0.0748,0.0763
93.935,6.21,0.0000,0.04,0.0025,0.0026,0.0768,0.0768
94.045,6.39,0.0000,-0.37,0.0160,0.0000,0.0892,0.0781
94.158,6.15,0.0000,-0.28,0.0121,0.0000,0.0862,0.0792
94.265,6.91,0.0000,-0.23,0.0099,0.0000,0.0845,0.0799
94.366,7.03,0.0000,-0.37,0.0160,0.0000,0.0893,0.0809
94.485,7.04,0.0000,-0.39,0.0166,0.0000,0.0899,0.0820
94.587,6.74,0.0000,-0.29,0.0125,0.0000,0.0866,0.0828
94.700,6.87,0.0000,-0.63,0.0271,0.0000,0.0981,0.0845
94.814,6.96,0.0000,-0.24,0.0101,0.0000,0.0850,0.0862
94.929,6.26,0.0000,-0.27,0.0118,0.0000,0.0863,0.0874
95.032,5.72,0.0000,-0.25,0.0108,0.0000,0.0856,0.0880
95.133,5.55,0.0373,0.17,0.0102,0.0000,0.0774,0.0869
95.238,4.52,0.1740,0.43,0.0261,0.0000,0.0816,0.0865
95.374,3.55,0.2833,-0.82,0.0351,0.0558,0.1248,0.0886
95.477,3.54,0.3048,-1.79,0.0768,0.0444,0.1563,0.0949
95.578,3.16,0.3158,-2.07,0.0887,0.0780,0.1691,0.1025
95.690,3.02,0.3377,-2.31,0.0991,0.0833,0.1787,0.1107
95.801,2.62,0.3075,-2.80,0.1198,0.0070,0.1862,0.1197
95.930,2.70,0.2875,-2.60,0.1114,0.0000,0.1783,0.1324
96.065,2.66,0.1907,-2.98,0.1276,0.0000,0.1866,0.1454
96.200,2.38,0.2095,-3.25,0.1391,0.0000,0.1967,0.1613
96.326,3.11,0.1696,-3.86,0.1655,0.0124,0.2168,0.1758
96.436,3.06,0.1242,-3.73,0.1597,0.0782,0.2166,0.1855
96.563,3.61,0.0817,-3.70,0.1584,0.0403,0.2098,0.1904
