timestamp_s,event_type,pss_at_event,actions,latency_s,details
15.956,at_desired_pose,0.0000,,,
100.891,intervention,0.3595,rotate:0.033,0.823,id=1
102.677,intervention,0.3255,rotate:0.025,0.832,id=2
104.469,intervention,0.3163,rotate:0.025,0.846,id=3
106.257,intervention,0.3537,rotate:0.031,0.849,id=4
108.045,intervention,0.3700,rotate:0.045,0.819,id=5
109.843,intervention,0.3969,rotate:0.048,0.832,id=6
111.618,intervention,0.4243,rotate:0.055,0.817,id=7
113.389,intervention,0.4275,rotate:0.057,0.836,id=8
115.190,intervention,0.4265,rotate:0.063,0.831,id=9
116.787,intervention,0.5163,rotate:0.080,0.841,id=10
118.373,intervention,0.5152,rotate:0.080,0.828,id=11
119.936,intervention,0.5114,rotate:0.080,0.819,id=12
121.517,intervention,0.4983,rotate:0.070,0.824,id=13
123.116,intervention,0.4373,rotate:0.058,0.836,id=14
124.854,intervention,0.4317,rotate:0.055,0.811,id=15
126.637,intervention,0.4019,rotate:0.040,0.832,id=16
128.421,intervention,0.3708,rotate:0.038,0.830,id=17
130.219,intervention,0.3551,rotate:0.037,0.834,id=18
132.001,intervention,0.3399,rotate:0.033,0.824,id=19
133.802,intervention,0.3330,rotate:0.029,0.833,id=20
135.588,intervention,0.3310,rotate:0.026,0.825,id=21
137.377,intervention,0.3237,rotate:0.027,0.827,id=22
139.171,intervention,0.3187,rotate:0.026,0.828,id=23
142.333,intervention,0.3790,rotate:0.043,0.819,id=24
148.454,intervention,0.3275,rotate:-0.027,0.829,id=25
154.392,intervention,0.3543,rotate:-0.034,0.848,id=26
159.705,intervention,0.2920,,,id=None
160.369,intervention,0.4386,rotate:-0.046,0.844,id=27
161.938,intervention,0.2877,rotate:-0.024,0.830,id=28
167.130,intervention,0.2037,,,id=None
168.110,intervention,0.5259,rotate:-0.058,0.845,id=29
169.151,intervention,0.5372,,,id=None
169.669,intervention,0.5271,rotate:-0.049,0.822,id=30
171.269,intervention,0.5205,rotate:-0.049,0.859,id=31
172.822,intervention,0.4902,rotate:-0.045,0.815,id=32
173.303,intervention,0.4583,,,id=None
174.607,intervention,0.4320,rotate:-0.044,0.819,id=33
176.353,intervention,0.3803,rotate:-0.038,0.810,id=34
178.168,intervention,0.3532,rotate:-0.034,0.835,id=35
197.117,intervention,0.1902,,,id=None
198.091,intervention,0.4806,rotate:-0.042,0.828,id=36
199.887,intervention,0.3964,rotate:-0.039,0.850,id=37
201.685,intervention,0.3160,rotate:-0.030,0.836,id=38
217.151,intervention,0.2639,rotate:0.021,0.826,id=39
218.931,intervention,0.3573,rotate:0.040,0.836,id=40
230.981,intervention,0.3738,rotate:0.047,0.831,id=41
232.780,intervention,0.4487,rotate:0.056,0.832,id=42
234.574,intervention,0.4412,rotate:0.056,0.828,id=43
236.337,intervention,0.4440,rotate:0.057,0.821,id=44
238.086,intervention,0.3872,rotate:0.038,0.818,id=45
246.426,intervention,0.1936,,,id=None
247.472,intervention,0.4323,rotate:-0.038,0.841,id=46
250.930,intervention,0.1566,,,id=None
261.751,intervention,0.2491,,,id=None
262.631,intervention,0.3327,rotate:-0.032,0.839,id=47
279.081,intervention,0.3043,raise:0.008,0.824,id=48
284.486,intervention,0.3321,raise:0.008,0.849,id=49
292.426,user_abort,0.0710,,,
