timestamp_s,trunk_angle_deg,trunk_score,cervical_cm,cervical_score,lean_score,pss_raw,pss_smooth
52.851,3.98,0.0000,3.29,0.1977,0.1516,0.3911,0.3911
52.966,3.94,0.0000,3.30,0.1978,0.1453,0.3906,0.3908
53.083,3.98,0.0000,3.14,0.1882,0.1083,0.3770,0.3872
53.201,3.07,0.0000,2.72,0.1631,0.0000,0.3404,0.3759
53.301,2.96,0.0953,2.63,0.1580,0.0000,0.3399,0.3684
53.403,3.82,0.1689,2.16,0.1295,0.0000,0.3145,0.3603
53.512,4.33,0.2594,2.13,0.1280,0.0000,0.3175,0.3536
53.647,4.02,0.2785,2.18,0.1309,0.0000,0.3213,0.3482
53.763,3.26,0.3564,2.37,0.1421,0.0000,0.3368,0.3460
53.883,3.65,0.3457,2.16,0.1296,0.0000,0.3235,0.3409
53.998,4.34,0.3582,1.67,0.1003,0.0000,0.2942,0.3297
54.099,4.27,0.3604,1.42,0.0849,0.0000,0.2787,0.3205
54.204,3.50,0.3459,1.43,0.0857,0.0000,0.2787,0.3138
54.335,3.66,0.3673,1.30,0.0777,0.0000,0.2716,0.3057
54.457,4.17,0.3763,1.50,0.0901,0.0000,0.2848,0.3009
54.573,4.40,0.3998,1.41,0.0845,0.0000,0.2802,0.2977
54.674,4.34,0.4339,1.54,0.0922,0.0000,0.2899,0.2941
54.797,4.88,0.4312,1.91,0.1143,0.0000,0.3123,0.2895
54.907,4.70,0.4107,2.08,0.1250,0.0000,0.3222,0.2891
55.025,4.65,0.4314,1.97,0.1181,0.0000,0.3162,0.2917
55.139,4.68,0.4057,1.97,0.1182,0.0000,0.3150,0.2950
55.244,4.80,0.3644,1.97,0.1183,0.0000,0.3130,0.2999
55.373,4.87,0.3489,1.91,0.1147,0.0000,0.3085,0.3037
55.483,4.88,0.3631,1.84,0.1104,0.0000,0.3049,0.3064
55.598,4.52,0.3740,1.90,0.1138,0.0000,0.3089,0.3093
55.698,3.86,0.3970,2.16,0.1296,0.0000,0.3262,0.3120
55.806,3.54,0.2602,2.59,0.1555,0.0000,0.3456,0.3158
55.915,3.48,0.1952,2.77,0.1664,0.0000,0.3534,0.3190
56.052,3.32,0.1739,2.86,0.1715,0.0323,0.3606,0.3250
56.171,3.51,0.1172,3.31,0.1985,0.1809,0.4000,0.3345
56.317,4.16,0.0962,3.52,0.2111,0.2194,0.4154,0.3470
56.436,6.20,0.1132,3.39,0.2034,0.2539,0.4117,0.3613
56.537,6.82,0.1576,3.62,0.2175,0.2528,0.4267,0.3731
56.649,6.63,0.1637,3.98,0.2386,0.2843,0.4367,0.3854
56.751,5.78,0.0634,4.77,0.2864,0.2596,0.4437,0.3972
56.885,6.21,0.0599,5.61,0.3365,0.2545,0.4580,0.4108
57.007,6.87,0.0060,5.62,0.3373,0.2079,0.4509,0.4231
57.154,7.63,0.2012,5.52,0.3313,0.2071,0.4585,0.4331
57.255,7.45,0.2120,6.26,0.3756,0.1659,0.4600,0.4390
57.385,6.80,0.2344,6.13,0.3675,0.1791,0.4619,0.4452
57.487,6.82,0.1635,6.28,0.3770,0.1734,0.4617,0.4495
57.610,6.57,0.1989,6.22,0.3731,0.1708,0.4635,0.4542
57.722,6.77,0.1833,6.20,0.3723,0.1821,0.4641,0.4568
57.831,6.80,0.1859,6.13,0.3676,0.2008,0.4649,0.4586
57.932,6.79,0.1974,6.54,0.3926,0.1567,0.4628,0.4601
58.034,6.53,0.1509,6.34,0.3806,0.1686,0.4597,0.4612
58.137,6.72,0.0753,6.39,0.3832,0.1415,0.4552,0.4614
58.238,7.06,0.0599,6.54,0.3925,0.0999,0.4535,0.4606
58.351,6.94,0.0376,6.73,0.4041,0.1050,0.4569,0.4600
58.457,6.79,0.0572,6.42,0.3851,0.1437,0.4568,0.4602
58.558,6.55,0.0717,6.31,0.3786,0.1452,0.4564,0.4598
58.685,6.74,0.1108,5.93,0.3558,0.1626,0.4532,0.4591
58.791,6.94,0.1749,6.06,0.3634,0.1603,0.4592,0.4583
58.913,7.16,0.1251,6.53,0.3918,0.1300,0.4604,0.4575
59.018,7.20,0.1756,6.86,0.4117,0.1321,0.4698,0.4580
59.120,6.95,0.0218,6.64,0.3983,0.1710,0.4626,0.4589
59.246,7.15,0.0487,6.66,0.3995,0.1357,0.4606,0.4597
59.379,6.84,0.0119,6.36,0.3814,0.1372,0.4539,0.4600
59.511,7.57,0.2671,6.39,0.3835,0.1696,0.4698,0.4606
59.628,7.11,0.1094,6.60,0.3961,0.1642,0.4655,0.4614
59.731,6.54,0.0637,6.84,0.4103,0.1491,0.4666,0.4623
59.832,6.58,0.1493,6.62,0.3972,0.1594,0.4684,0.4637
59.939,6.33,0.1098,6.41,0.3846,0.1769,0.4653,0.4648
60.071,6.56,0.2249,6.58,0.3948,0.1688,0.4738,0.4659
60.189,6.47,0.2360,6.26,0.3756,0.1924,0.4713,0.4662
60.290,6.91,0.2477,6.24,0.3745,0.2005,0.4726,0.4672
60.393,6.45,0.2643,6.30,0.3777,0.1962,0.4740,0.4684
60.494,6.26,0.2066,6.50,0.3897,0.1644,0.4717,0.4699
60.615,6.57,0.1560,6.50,0.3897,0.1658,0.4696,0.4698
60.748,6.22,0.0066,7.19,0.4314,0.1582,0.4736,0.4704
60.866,6.57,0.2238,6.95,0.4173,0.1748,0.4815,0.4715
60.989,6.29,0.0770,6.94,0.4164,0.1522,0.4715,0.4720
61.089,6.88,0.2846,6.71,0.4028,0.1941,0.4805,0.4731
61.190,6.95,0.2930,6.49,0.3896,0.1794,0.4762,0.4738
61.296,6.92,0.2085,6.56,0.3936,0.1971,0.4751,0.4741
61.410,6.76,0.2531,6.57,0.3939,0.1769,0.4755,0.4741
61.542,6.92,0.2240,6.03,0.3618,0.2097,0.4682,0.4739
61.683,6.70,0.1725,6.61,0.3965,0.1948,0.4750,0.4742
61.826,6.57,0.0870,6.91,0.4148,0.1578,0.4719,0.4743
61.928,6.45,0.1384,7.10,0.4261,0.1447,0.4767,0.4738
62.028,6.56,0.1130,6.62,0.3971,0.1643,0.4684,0.4737
62.130,6.38,0.0679,6.70,0.4019,0.1636,0.4672,0.4728
62.230,6.76,0.1230,6.10,0.3659,0.1583,0.4586,0.4713
62.331,6.56,0.1521,6.27,0.3763,0.1852,0.4661,0.4699
62.432,6.53,0.0999,6.29,0.3775,0.1696,0.4627,0.4691
62.534,6.52,0.1452,6.18,0.3706,0.1986,0.4661,0.4683
62.650,6.53,0.1025,6.23,0.3736,0.2108,0.4660,0.4683
62.751,6.36,0.1092,6.54,0.3926,0.1656,0.4661,0.4678
62.868,6.49,0.0522,6.51,0.3906,0.1360,0.4602,0.4667
62.973,6.63,0.0952,6.53,0.3918,0.1371,0.4632,0.4655
63.074,6.70,0.1791,5.99,0.3595,0.1670,0.4605,0.4645
63.209,6.76,0.1937,5.86,0.3515,0.1996,0.4624,0.4638
63.320,6.64,0.1643,6.20,0.3720,0.1959,0.4670,0.4643
63.430,6.29,0.1753,6.50,0.3899,0.1698,0.4705,0.4653
63.547,6.49,0.1619,6.15,0.3690,0.1655,0.4634,0.4653
63.671,6.58,0.1437,6.07,0.3643,0.1822,0.4626,0.4649
63.790,6.46,0.1709,6.16,0.3698,0.2077,0.4682,0.4649
63.891,6.54,0.0700,6.22,0.3729,0.1837,0.4614,0.4643
64.009,6.48,0.0919,6.66,0.3998,0.1548,0.4664,0.4647
64.117,7.37,0.0557,6.72,0.4029,0.1549,0.4613,0.4647
64.250,6.61,0.1705,6.82,0.4094,0.1573,0.4686,0.4650
64.369,6.81,0.1001,5.86,0.3514,0.1837,0.4521,0.4649
64.484,7.22,0.0369,6.01,0.3606,0.1684,0.4516,0.4631
64.590,7.59,0.1798,5.89,0.3532,0.1756,0.4578,0.4617
64.708,6.72,0.0010,6.22,0.3734,0.1441,0.4523,0.4611
64.825,6.66,0.0000,6.29,0.3773,0.1518,0.4551,0.4602
64.930,6.63,0.0111,6.04,0.3623,0.1958,0.4556,0.4588
65.044,6.38,0.0040,6.55,0.3930,0.1491,0.4589,0.4586
65.144,6.16,0.0000,6.37,0.3821,0.2099,0.4621,0.4582
65.292,6.47,0.1451,5.60,0.3358,0.1803,0.4528,0.4576
65.419,6.67,0.2101,5.38,0.3228,0.1849,0.4522,0.4560
65.526,5.84,0.1900,5.83,0.3498,0.1718,0.4580,0.4561
65.633,5.55,0.0463,6.09,0.3652,0.1477,0.4533,0.4564
65.762,6.24,0.0923,5.48,0.3285,0.2006,0.4505,0.4560
65.900,5.88,0.0175,5.61,0.3365,0.1901,0.4483,0.4552
66.002,5.36,0.0648,5.83,0.3498,0.1821,0.4544,0.4551
66.140,5.62,0.0732,5.20,0.3120,0.1395,0.4391,0.4532
66.271,5.40,0.0000,5.19,0.3116,0.1462,0.4361,0.4502
66.373,5.75,0.0606,5.26,0.3156,0.1584,0.4418,0.4489
66.507,5.98,0.0484,5.96,0.3576,0.2026,0.4585,0.4490
66.610,6.03,0.0890,6.33,0.3795,0.1873,0.4656,0.4494
66.745,6.28,0.0800,6.64,0.3986,0.1428,0.4662,0.4509
66.846,6.82,0.1280,6.75,0.4051,0.1100,0.4669,0.4526
66.948,6.63,0.0519,7.11,0.4265,0.0966,0.4684,0.4545
67.048,7.00,0.0886,6.74,0.4047,0.1002,0.4640,0.4560
67.149,7.34,0.1888,6.77,0.4060,0.1494,0.4746,0.4589
67.288,6.86,0.0149,6.89,0.4132,0.1414,0.4672,0.4634
67.403,6.30,0.0000,7.31,0.4385,0.1923,0.4791,0.4677
67.528,6.48,0.0000,7.38,0.4430,0.1516,0.4762,0.4696
67.653,7.08,0.1054,7.10,0.4261,0.1316,0.4743,0.4706
67.785,7.40,0.2613,6.52,0.3912,0.1691,0.4759,0.4716
67.922,6.57,0.0198,7.31,0.4386,0.1052,0.4714,0.4726
68.025,6.89,0.0546,6.92,0.4153,0.1520,0.4712,0.4731
68.136,7.11,0.0000,6.75,0.4051,0.1638,0.4662,0.4723
