timestamp_s,trunk_angle_deg,trunk_score,cervical_cm,cervical_score,lean_score,pss_raw,pss_smooth
149.959,5.33,0.0000,-0.09,0.0039,0.0000,0.1852,0.1852
150.063,5.31,0.0000,-0.05,0.0022,0.0000,0.1859,0.1854
150.193,5.28,0.0000,-0.08,0.0034,0.0000,0.1853,0.1852
150.359,5.36,0.0000,-0.13,0.0057,0.0000,0.1844,0.1850
150.492,5.35,0.0084,-0.08,0.0036,0.0000,0.1857,0.1850
150.592,5.35,0.0000,-0.21,0.0092,0.0000,0.1829,0.1849
150.692,5.33,0.0000,-0.13,0.0056,0.0000,0.1845,0.1848
150.825,5.37,0.0000,-0.15,0.0066,0.0004,0.1841,0.1845
150.942,5.36,0.0000,-0.16,0.0067,0.0000,0.1840,0.1845
151.051,5.44,0.0000,-0.10,0.0044,0.0022,0.1852,0.1846
151.152,5.43,0.0000,-0.08,0.0033,0.0000,0.1855,0.1846
151.302,5.57,0.0000,-0.12,0.0051,0.0000,0.1847,0.1847
151.419,5.60,0.0000,-0.17,0.0071,0.0000,0.1838,0.1847
151.560,5.57,0.0000,-0.13,0.0055,0.0000,0.1845,0.1846
151.706,5.27,0.0000,-0.16,0.0070,0.0000,0.1838,0.1846
151.807,5.27,0.0000,-0.06,0.0028,0.0005,0.1857,0.1846
151.938,5.39,0.0000,-0.12,0.0052,0.0000,0.1846,0.1846
152.042,5.39,0.0000,-0.12,0.0053,0.0000,0.1846,0.1846
152.193,5.46,0.0000,-0.14,0.0062,0.0000,0.1842,0.1847
152.336,5.49,0.0000,-0.31,0.0135,0.0009,0.1813,0.1846
152.446,5.49,0.0000,-0.22,0.0094,0.0000,0.1830,0.1845
152.554,5.28,0.0000,-0.51,0.0218,0.0070,0.1784,0.1841
152.707,5.18,0.0000,-0.54,0.0230,0.0113,0.1784,0.1835
152.856,5.71,0.0336,-0.51,0.0220,0.0000,0.1791,0.1826
152.997,5.56,0.1173,1.29,0.0774,0.0000,0.2718,0.1865
153.110,6.32,0.1915,1.68,0.1007,0.0000,0.2994,0.1942
153.257,7.18,0.1581,2.18,0.1306,0.0000,0.3283,0.2079
153.384,7.78,0.0350,2.71,0.1626,0.0000,0.3548,0.2246
153.491,8.61,0.0000,2.66,0.1598,0.0000,0.3501,0.2354
153.660,9.63,0.0000,2.96,0.1778,0.0000,0.3685,0.2528
153.799,12.34,0.0000,3.37,0.2021,0.0000,0.3894,0.2729
153.927,13.95,0.0000,3.73,0.2238,0.0000,0.3942,0.2871
154.044,15.32,0.0000,4.50,0.2700,0.0000,0.4062,0.3017
154.186,20.01,0.1468,4.54,0.2725,0.0000,0.4124,0.3256
154.328,20.46,0.1324,5.05,0.3032,0.0000,0.4197,0.3417
154.431,20.51,0.1044,5.54,0.3327,0.0000,0.4267,0.3582
154.596,22.41,0.1487,5.44,0.3263,0.0000,0.4268,0.3788
154.706,23.13,0.1384,5.33,0.3200,0.0000,0.4246,0.3871
154.825,23.52,0.1192,5.20,0.3120,0.0000,0.4211,0.3941
154.975,22.37,0.1122,5.46,0.3278,0.0000,0.4251,0.4022
155.124,23.00,0.1245,4.56,0.2739,0.0000,0.4095,0.4090
155.234,23.00,0.0778,4.61,0.2765,0.0000,0.4073,0.4128
155.384,22.74,0.0377,5.25,0.3151,0.0000,0.4148,0.4165
155.506,21.88,0.0660,5.23,0.3140,0.0000,0.4153,0.4187
155.607,21.71,0.0687,5.31,0.3184,0.0000,0.4168,0.4197
155.717,21.76,0.0504,5.22,0.3129,0.0000,0.4135,0.4193
155.860,23.29,0.0000,5.22,0.3133,0.0000,0.4111,0.4188
155.962,23.35,0.0000,5.20,0.3118,0.0000,0.4116,0.4181
156.104,22.84,0.0000,4.15,0.2491,0.0000,0.3899,0.4148
156.204,23.64,0.0000,4.00,0.2400,0.0000,0.3886,0.4124
156.344,23.88,0.0133,4.08,0.2448,0.0000,0.3892,0.4091
156.469,23.56,0.0567,4.42,0.2654,0.0000,0.3981,0.4060
156.619,23.28,0.0000,4.88,0.2927,0.0000,0.4023,0.4045
156.762,22.97,0.0295,4.53,0.2718,0.0000,0.3958,0.4030
