timestamp_s,trunk_angle_deg,trunk_score,cervical_cm,cervical_score,lean_score,pss_raw,pss_smooth
38.914,1.42,0.0224,-0.33,0.0143,0.0201,0.0741,0.0741
39.015,1.55,0.0367,-0.33,0.0141,0.0000,0.0727,0.0728
39.154,1.41,0.0263,-0.06,0.0028,0.0000,0.0771,0.0739
39.258,1.87,0.0120,-0.35,0.0151,0.0000,0.0710,0.0735
39.386,1.41,0.0013,-0.12,0.0053,0.0000,0.0745,0.0735
39.517,2.66,0.0000,-0.21,0.0089,0.0668,0.0785,0.0735
39.645,3.48,0.0000,-0.13,0.0054,0.0191,0.0741,0.0742
39.783,3.46,0.0000,-0.72,0.0307,0.0000,0.0601,0.0731
39.888,3.55,0.0000,-0.40,0.0172,0.0000,0.0634,0.0723
40.015,2.99,0.0000,-0.51,0.0219,0.0000,0.0583,0.0702
40.116,2.38,0.0000,-1.33,0.0569,0.0000,0.0415,0.0675
40.249,2.63,0.0000,-1.15,0.0492,0.0000,0.0403,0.0627
40.385,3.36,0.0000,-2.11,0.0903,0.0000,0.0290,0.0571
40.485,2.96,0.0000,-2.03,0.0869,0.0000,0.0269,0.0530
40.608,2.58,0.0000,-1.72,0.0735,0.0000,0.0305,0.0475
40.763,2.27,0.0000,-1.74,0.0746,0.0000,0.0300,0.0420
40.872,2.01,0.0000,-1.61,0.0688,0.0000,0.0319,0.0375
40.992,1.34,0.0000,-1.56,0.0668,0.0000,0.0356,0.0349
41.123,1.55,0.0000,0.25,0.0148,0.0000,0.0757,0.0364
41.231,1.68,0.0000,1.36,0.0817,0.0000,0.1356,0.0450
41.357,1.98,0.0000,2.13,0.1276,0.0000,0.1812,0.0613
41.458,2.10,0.0000,3.28,0.1970,0.0000,0.2576,0.0826
41.599,0.97,0.0000,4.04,0.2422,0.0000,0.3054,0.1154
41.730,2.19,0.0000,4.60,0.2760,0.2384,0.3679,0.1582
41.830,3.28,0.0000,5.15,0.3089,0.2163,0.4016,0.1955
41.962,4.08,0.0000,5.97,0.3584,0.3435,0.4612,0.2505
42.067,5.50,0.0000,4.81,0.2888,0.2588,0.3916,0.2870
42.188,4.32,0.0000,3.87,0.2320,0.3158,0.3416,0.3213
42.289,5.42,0.1939,2.80,0.1677,0.2215,0.2776,0.3381
42.401,7.36,0.0986,3.71,0.2228,0.1040,0.3184,0.3525
42.521,7.32,0.2322,5.98,0.3585,0.0000,0.4461,0.3619
42.623,7.26,0.1755,5.75,0.3452,0.0000,0.4373,0.3755
42.749,5.57,0.1737,5.18,0.3109,0.0000,0.4015,0.3812
42.868,6.59,0.4909,4.59,0.2756,0.0000,0.3819,0.3803
42.984,6.50,0.4013,4.97,0.2982,0.0000,0.4014,0.3718
43.113,6.76,0.0000,6.87,0.4125,0.0000,0.4520,0.3807
43.233,6.63,0.0000,7.33,0.4400,0.0000,0.4604,0.3935
43.333,5.51,0.0000,4.06,0.2438,0.0000,0.3264,0.4028
43.467,3.19,0.0000,0.60,0.0357,0.0000,0.1137,0.3957
43.597,0.83,0.0000,-2.41,0.1032,0.0000,0.0337,0.3495
43.722,17.91,0.8591,-0.69,0.0297,0.0000,0.1064,0.3056
43.825,24.16,0.8997,-1.06,0.0456,0.0000,0.1019,0.2760
43.961,19.90,0.7836,-1.27,0.0543,0.0000,0.0921,0.2420
44.121,7.35,0.2397,-3.84,0.1646,0.0000,0.0903,0.1864
44.227,10.75,0.0000,1.65,0.0988,0.0000,0.1771,0.1505
44.363,1.75,0.0000,-1.82,0.0780,0.0000,0.0436,0.1143
44.479,15.75,0.0000,-0.59,0.0251,0.0000,0.0666,0.0935
44.590,17.62,0.0000,3.13,0.1877,0.0000,0.2652,0.1082
44.722,8.23,0.0000,3.33,0.1995,0.0000,0.2751,0.1323
44.834,6.01,0.0000,-0.91,0.0389,0.0000,0.0529,0.1298
44.941,6.68,0.0000,0.92,0.0553,0.0000,0.1250,0.1296
45.054,21.24,0.0000,2.49,0.1495,0.0000,0.2228,0.1414
45.164,1.70,0.0000,3.38,0.2028,0.0000,0.2793,0.1541
45.294,1.56,0.0000,6.02,0.3612,0.0000,0.4329,0.1872
45.401,0.58,0.0000,3.61,0.2163,0.0000,0.2946,0.2334
45.563,95.27,0.3446,2.42,0.1453,0.0000,0.2390,0.2663
45.665,108.53,0.3564,3.46,0.2074,0.0000,0.3023,0.2679
45.765,135.12,0.2687,4.69,0.2815,0.0000,0.3703,0.2772
45.895,125.48,0.3373,5.97,0.3580,0.0000,0.4390,0.3206
46.035,123.78,0.1424,5.50,0.3300,0.0000,0.3890,0.3514
46.156,134.51,0.2678,4.92,0.2952,0.0000,0.3678,0.3709
46.257,94.09,0.1138,4.28,0.2568,0.0000,0.3248,0.3679
46.396,129.44,0.1560,3.33,0.1998,0.0000,0.2745,0.3496
46.496,145.02,0.2876,3.42,0.2051,0.0000,0.2898,0.3405
46.629,132.30,0.4071,3.57,0.2140,0.0000,0.3071,0.3430
46.749,144.14,0.4961,3.34,0.2001,0.0000,0.2991,0.3376
46.864,126.16,0.1271,4.65,0.2788,0.0000,0.3623,0.3350
46.981,138.02,0.1418,4.66,0.2795,0.0000,0.3548,0.3273
47.085,142.78,0.2370,4.07,0.2440,0.0000,0.3234,0.3234
47.198,139.49,0.2314,4.92,0.2953,0.0000,0.3792,0.3211
47.298,139.37,0.2894,4.50,0.2701,0.0000,0.3577,0.3258
47.400,147.38,0.2522,5.21,0.3124,0.0000,0.3997,0.3359
47.538,131.14,0.0211,3.16,0.1894,0.0000,0.2650,0.3434
47.659,136.03,0.1841,4.91,0.2946,0.0000,0.3834,0.3419
47.771,151.17,0.2900,4.08,0.2448,0.0000,0.3392,0.3457
47.876,158.02,0.3911,3.59,0.2155,0.0000,0.3166,0.3438
47.999,148.04,0.3736,4.45,0.2667,0.0000,0.3620,0.3444
48.099,121.38,0.0635,5.47,0.3281,0.0000,0.4101,0.3513
48.199,141.23,0.3032,3.75,0.2252,0.0000,0.3168,0.3521
48.301,150.74,0.5068,4.86,0.2914,0.0000,0.3970,0.3547
48.405,152.99,0.5397,4.56,0.2736,0.0000,0.3812,0.3500
48.524,150.84,0.4272,4.12,0.2474,0.0000,0.3499,0.3530
48.651,146.26,0.3092,5.36,0.3219,0.0000,0.4153,0.3652
48.765,157.38,0.1651,4.95,0.2969,0.0000,0.3849,0.3709
48.867,140.12,0.0997,4.66,0.2798,0.0000,0.3646,0.3754
