timestamp_s,event_type,pss_at_event,actions,latency_s,details
1.186,at_desired_pose,0.0000,,,
32.422,intervention,0.3430,rotate:0.057,0.849,id=1
34.215,intervention,0.3989,rotate:0.062,0.862,id=2
35.979,intervention,0.3984,rotate:0.055,0.823,id=3
37.815,intervention,0.3910,rotate:0.050,0.862,id=4
49.170,intervention,0.3910,rotate:0.071,0.854,id=5
50.954,intervention,0.4386,rotate:0.075,0.851,id=6
52.723,intervention,0.4131,rotate:0.043,0.835,id=7
69.929,intervention,0.3949,rotate:0.059,0.840,id=8
71.703,intervention,0.4862,rotate:0.068,0.834,id=9
73.068,intervention,0.2581,raise:0.008,0.842,id=10
74.843,intervention,0.3023,rotate:0.030,0.841,id=11
76.613,intervention,0.2699,rotate:0.026,0.848,id=12
78.589,intervention,0.3702,rotate:0.087,0.838,id=13
80.186,intervention,0.4151,rotate:0.027,0.835,id=14
84.345,intervention,0.4321,rotate:0.099,0.834,id=15
85.911,intervention,0.5071,rotate:0.095,0.827,id=16
87.515,intervention,0.5074,rotate:0.100,0.847,id=17
89.084,intervention,0.4567,rotate:0.054,0.834,id=18
90.876,intervention,0.4122,rotate:0.068,0.826,id=19
92.685,intervention,0.3633,rotate:0.053,0.851,id=20
94.471,intervention,0.4107,rotate:0.062,0.835,id=21
96.249,intervention,0.2811,rotate:0.028,0.835,id=22
98.021,intervention,0.3273,rotate:0.027,0.837,id=23
99.817,intervention,0.4053,rotate:0.069,0.850,id=24
101.614,intervention,0.4441,rotate:0.055,0.847,id=25
102.983,intervention,0.2556,raise:0.008,0.830,id=26
119.330,intervention,0.4102,rotate:0.089,0.825,id=27
120.916,intervention,0.5187,rotate:0.100,0.833,id=28
122.516,intervention,0.3897,rotate:0.032,0.850,id=29
124.285,intervention,0.3048,rotate:0.029,0.835,id=30
126.053,intervention,0.3026,raise:0.008,0.838,id=31
128.967,intervention,0.2707,raise:0.008,0.850,id=32
131.180,intervention,0.2862,raise:0.008,0.849,id=33
132.953,intervention,0.2834,raise:0.008,0.821,id=34
139.075,intervention,0.3149,rotate:0.033,0.837,id=35
140.839,intervention,0.3363,rotate:0.036,0.840,id=36
142.652,intervention,0.3219,rotate:0.036,0.856,id=37
144.454,intervention,0.3013,raise:0.008,0.856,id=38
146.237,intervention,0.3292,rotate:0.032,0.843,id=39
148.007,intervention,0.3323,rotate:0.036,0.842,id=40
149.811,intervention,0.3496,rotate:0.048,0.847,id=41
151.585,intervention,0.3496,rotate:0.043,0.837,id=42
153.383,intervention,0.3404,rotate:0.036,0.835,id=43
157.916,intervention,0.2992,rotate:0.029,0.855,id=44
159.666,intervention,0.3113,rotate:0.030,0.818,id=45
165.544,intervention,0.2835,rotate:0.029,0.852,id=46
167.319,intervention,0.3134,rotate:0.027,0.838,id=47
172.465,intervention,0.2853,rotate:0.027,0.845,id=48
174.248,intervention,0.2853,rotate:0.027,0.852,id=49
177.491,intervention,0.3067,rotate:0.032,0.860,id=50
179.293,intervention,0.3248,rotate:0.037,0.846,id=51
181.081,intervention,0.3254,rotate:0.034,0.839,id=52
182.893,intervention,0.2718,rotate:0.031,0.851,id=53
184.686,intervention,0.3380,rotate:0.040,0.841,id=54
186.449,intervention,0.3435,rotate:0.044,0.817,id=55
188.183,intervention,0.5175,rotate:0.100,0.863,id=56
189.785,intervention,0.5178,rotate:0.100,0.853,id=57
191.379,intervention,0.5165,rotate:0.100,0.846,id=58
192.950,intervention,0.5163,rotate:0.100,0.848,id=59
194.557,intervention,0.5172,rotate:0.100,0.851,id=60
196.198,intervention,0.5181,rotate:0.100,0.882,id=61
197.767,intervention,0.5184,rotate:0.100,0.836,id=62
199.346,intervention,0.5083,rotate:0.100,0.823,id=63
201.157,intervention,0.2607,raise:0.008,0.844,id=64
203.543,intervention,0.1601,,,id=None
205.876,intervention,0.2025,,,id=None
210.659,user_abort,0.1749,,,
