timestamp_s,event_type,pss_at_event,actions,latency_s,details
1.037,at_desired_pose,0.0000,,,
38.508,intervention,0.2878,raise:0.008,0.838,id=1
40.308,intervention,0.3011,rotate:0.027,0.842,id=2
42.083,intervention,0.3112,raise:0.008,0.822,id=3
43.874,intervention,0.3032,raise:0.008,0.837,id=4
45.658,intervention,0.2853,raise:0.008,0.841,id=5
47.448,intervention,0.2667,raise:0.008,0.824,id=6
49.693,intervention,0.2596,raise:0.008,0.819,id=7
51.512,intervention,0.3259,rotate:0.032,0.833,id=8
53.300,intervention,0.3170,rotate:0.030,0.837,id=9
55.104,intervention,0.3170,rotate:0.032,0.843,id=10
56.896,intervention,0.3299,rotate:0.037,0.851,id=11
58.693,intervention,0.3294,rotate:0.039,0.848,id=12
60.498,intervention,0.3417,rotate:0.043,0.837,id=13
62.276,intervention,0.3488,rotate:0.044,0.816,id=14
64.102,intervention,0.3577,rotate:0.046,0.853,id=15
65.910,intervention,0.3603,rotate:0.047,0.832,id=16
67.711,intervention,0.3753,rotate:0.051,0.829,id=17
69.527,intervention,0.3785,rotate:0.055,0.822,id=18
71.316,intervention,0.3772,rotate:0.050,0.837,id=19
73.089,intervention,0.3683,rotate:0.050,0.825,id=20
79.734,intervention,0.2908,raise:0.008,0.841,id=21
86.426,intervention,0.3521,rotate:0.057,0.832,id=22
88.193,intervention,0.4059,rotate:0.060,0.810,id=23
89.983,intervention,0.4212,rotate:0.072,0.823,id=24
91.740,intervention,0.4244,rotate:0.067,0.813,id=25
93.546,intervention,0.4321,rotate:0.070,0.828,id=26
95.344,intervention,0.4758,rotate:0.081,0.850,id=27
96.904,intervention,0.4629,rotate:0.081,0.820,id=28
98.482,intervention,0.4659,rotate:0.091,0.825,id=29
100.066,intervention,0.4449,rotate:0.083,0.830,id=30
101.650,intervention,0.4649,rotate:0.077,0.822,id=31
103.254,intervention,0.4956,rotate:0.085,0.813,id=32
104.843,intervention,0.4968,rotate:0.090,0.816,id=33
106.444,intervention,0.4673,rotate:0.085,0.854,id=34
108.026,intervention,0.5059,rotate:0.090,0.836,id=35
109.816,intervention,0.4243,rotate:0.066,0.823,id=36
111.571,intervention,0.4088,rotate:0.059,0.814,id=37
113.408,intervention,0.4170,rotate:0.067,0.846,id=38
115.213,intervention,0.4159,rotate:0.065,0.839,id=39
117.007,intervention,0.4046,rotate:0.061,0.833,id=40
118.812,intervention,0.4097,rotate:0.063,0.840,id=41
120.585,intervention,0.4185,rotate:0.072,0.813,id=42
122.398,intervention,0.4136,rotate:0.062,0.837,id=43
124.205,intervention,0.4246,rotate:0.069,0.830,id=44
126.014,intervention,0.4114,rotate:0.066,0.834,id=45
127.798,intervention,0.4282,rotate:0.072,0.824,id=46
129.424,intervention,0.4127,rotate:0.060,0.854,id=47
131.171,intervention,0.3955,rotate:0.042,0.811,id=48
132.972,intervention,0.5057,rotate:0.096,0.838,id=49
134.547,intervention,0.5069,rotate:0.097,0.830,id=50
136.107,intervention,0.5011,rotate:0.099,0.816,id=51
137.681,intervention,0.5076,rotate:0.087,0.828,id=52
139.460,intervention,0.4132,rotate:0.086,0.838,id=53
141.039,intervention,0.4439,rotate:0.075,0.810,id=54
142.837,intervention,0.4350,rotate:0.071,0.847,id=55
144.628,intervention,0.3280,rotate:0.036,0.834,id=56
146.416,intervention,0.3065,rotate:0.031,0.832,id=57
148.214,intervention,0.3468,rotate:0.067,0.836,id=58
150.016,intervention,0.4072,rotate:0.070,0.841,id=59
151.575,intervention,0.5171,rotate:0.100,0.818,id=60
153.130,intervention,0.5193,rotate:0.100,0.811,id=61
154.702,intervention,0.5190,rotate:0.100,0.829,id=62
156.313,intervention,0.5199,rotate:0.100,0.840,id=63
157.918,intervention,0.5200,rotate:0.100,0.845,id=64
159.477,intervention,0.5200,rotate:0.100,0.816,id=65
161.086,intervention,0.5199,rotate:0.100,0.863,id=66
162.667,intervention,0.4307,rotate:0.031,0.821,id=67
164.103,intervention,0.3264,rotate:0.039,0.845,id=68
165.873,intervention,0.3430,rotate:0.039,0.821,id=69
167.632,intervention,0.4434,rotate:0.100,0.810,id=70
169.272,intervention,0.4394,rotate:0.100,0.869,id=71
170.877,intervention,0.5200,rotate:0.100,0.842,id=72
172.455,intervention,0.5201,rotate:0.100,0.819,id=73
174.057,intervention,0.5201,rotate:0.100,0.832,id=74
175.633,intervention,0.5201,rotate:0.100,0.813,id=75
177.229,intervention,0.5202,rotate:0.100,0.840,id=76
178.792,intervention,0.5202,rotate:0.100,0.822,id=77
180.392,intervention,0.5202,rotate:0.100,0.859,id=78
181.988,intervention,0.5202,rotate:0.100,0.833,id=79
183.553,intervention,0.5202,rotate:0.100,0.824,id=80
185.119,intervention,0.5201,rotate:0.100,0.830,id=81
186.729,intervention,0.4108,raise:0.008,0.841,id=82
195.487,intervention,0.2861,rotate:0.034,0.848,id=83
197.270,intervention,0.2841,raise:0.008,0.817,id=84
199.079,intervention,0.3102,rotate:0.032,0.846,id=85
200.849,intervention,0.3055,rotate:0.032,0.819,id=86
202.672,intervention,0.3051,rotate:0.034,0.850,id=87
204.459,intervention,0.3109,rotate:0.035,0.822,id=88
206.237,intervention,0.3059,rotate:0.034,0.823,id=89
208.039,intervention,0.2650,raise:0.008,0.834,id=90
211.700,intervention,0.2618,,,id=None
212.465,intervention,0.4157,rotate:-0.051,0.804,id=91
220.082,intervention,0.3306,rotate:-0.053,0.825,id=92
221.008,intervention,0.3886,,,id=None
221.910,intervention,0.5030,rotate:-0.078,0.851,id=93
223.039,intervention,0.5288,,,id=None
223.495,intervention,0.5188,rotate:-0.070,0.821,id=94
225.028,intervention,0.5569,,,id=None
225.125,intervention,0.5566,rotate:-0.082,0.843,id=95
226.714,intervention,0.4412,rotate:-0.055,0.839,id=96
228.083,intervention,0.2709,rotate:-0.039,0.839,id=97
228.575,intervention,0.2643,,,id=None
229.875,intervention,0.4791,rotate:-0.069,0.823,id=98
231.461,intervention,0.4615,rotate:-0.067,0.821,id=99
233.037,intervention,0.4556,rotate:-0.066,0.802,id=100
234.650,intervention,0.4776,rotate:-0.069,0.836,id=101
236.292,intervention,0.4678,rotate:-0.065,0.843,id=102
236.986,intervention,0.4704,,,id=None
237.881,intervention,0.2939,rotate:-0.028,0.811,id=103
239.540,user_abort,0.1052,,,
