timestamp_s,trunk_angle_deg,trunk_score,cervical_cm,cervical_score,lean_score,pss_raw,pss_smooth
22.379,7.42,0.0000,0.54,0.0324,0.0000,0.0081,0.0081
22.509,7.31,0.0000,0.64,0.0382,0.0000,0.0096,0.0085
22.630,7.99,0.0000,0.72,0.0430,0.0000,0.0107,0.0093
22.756,8.09,0.0000,0.80,0.0481,0.0000,0.0120,0.0101
22.887,8.50,0.0000,0.72,0.0431,0.0000,0.0108,0.0105
23.032,7.79,0.0000,0.94,0.0566,0.0000,0.0142,0.0107
23.162,7.41,0.0000,0.93,0.0561,0.0000,0.0140,0.0114
23.275,7.56,0.0000,0.72,0.0432,0.0000,0.0108,0.0114
23.396,7.97,0.0000,0.66,0.0398,0.0000,0.0099,0.0114
23.519,7.74,0.0879,0.85,0.0511,0.0000,0.0172,0.0121
23.623,8.01,0.0426,0.81,0.0486,0.0358,0.0196,0.0128
23.732,7.87,0.0000,0.87,0.0522,0.0000,0.0130,0.0134
23.833,8.12,0.0385,0.97,0.0580,0.0000,0.0164,0.0139
23.949,7.65,0.0000,1.06,0.0634,0.0000,0.0159,0.0145
24.069,7.63,0.0000,1.07,0.0640,0.0000,0.0160,0.0149
24.183,7.90,0.0000,0.99,0.0596,0.0000,0.0149,0.0149
24.297,7.79,0.0000,1.02,0.0611,0.0000,0.0153,0.0155
24.438,7.89,0.0000,1.10,0.0658,0.0000,0.0164,0.0161
24.564,7.51,0.0000,0.83,0.0497,0.0000,0.0124,0.0159
24.689,8.38,0.0000,1.04,0.0625,0.0000,0.0156,0.0151
24.837,8.44,0.0000,1.34,0.0803,0.0000,0.0201,0.0156
24.943,7.92,0.0000,1.15,0.0692,0.0000,0.0173,0.0157
25.065,8.35,0.0039,1.12,0.0674,0.0000,0.0170,0.0156
25.166,8.42,0.0000,1.01,0.0606,0.0000,0.0151,0.0158
25.275,8.58,0.0000,0.83,0.0496,0.0000,0.0124,0.0154
25.384,8.41,0.0000,0.70,0.0417,0.0168,0.0130,0.0151
25.505,8.63,0.0003,0.88,0.0528,0.0050,0.0140,0.0153
25.623,7.09,0.0000,0.79,0.0472,0.0226,0.0152,0.0154
25.725,7.66,0.0000,1.07,0.0639,0.0177,0.0186,0.0158
25.850,7.96,0.0000,1.02,0.0612,0.0550,0.0236,0.0159
25.957,7.91,0.0000,0.97,0.0581,0.0437,0.0211,0.0165
26.067,7.91,0.0000,0.91,0.0543,0.0271,0.0177,0.0166
26.183,7.60,0.0000,0.72,0.0434,0.0076,0.0120,0.0164
26.284,8.09,0.0000,0.77,0.0461,0.0000,0.0115,0.0162
26.388,7.60,0.0000,1.18,0.0707,0.0000,0.0177,0.0165
26.508,7.67,0.0000,1.03,0.0619,0.0000,0.0155,0.0166
26.617,7.56,0.0000,1.00,0.0601,0.0000,0.0150,0.0167
26.743,8.26,0.0000,0.93,0.0558,0.0000,0.0140,0.0160
26.877,7.61,0.0000,0.88,0.0528,0.0000,0.0132,0.0150
26.984,8.22,0.0000,0.72,0.0431,0.0000,0.0108,0.0141
27.119,8.13,0.0000,0.80,0.0478,0.0000,0.0119,0.0134
27.257,7.36,0.0000,1.00,0.0599,0.0000,0.0150,0.0137
27.364,7.59,0.0000,0.78,0.0471,0.0000,0.0118,0.0138
27.470,8.26,0.0000,0.54,0.0323,0.0000,0.0081,0.0129
27.590,7.78,0.0000,0.73,0.0438,0.0000,0.0109,0.0125
27.690,8.32,0.0000,0.40,0.0240,0.0000,0.0060,0.0118
27.803,8.29,0.0000,-0.02,0.0010,0.0000,0.0003,0.0105
27.919,6.92,0.0000,-0.64,0.0275,0.0000,0.0069,0.0095
28.039,7.57,0.0000,-1.95,0.0836,0.0000,0.0209,0.0101
28.171,8.16,0.0000,-3.12,0.1336,0.0375,0.0390,0.0127
28.275,7.56,0.0000,-3.49,0.1496,0.0906,0.0510,0.0159
28.376,6.66,0.0000,-5.27,0.2258,0.0542,0.0646,0.0207
28.481,4.92,0.0361,-7.28,0.3122,0.0000,0.0799,0.0293
28.598,3.84,0.0289,-9.07,0.3887,0.0000,0.0986,0.0374
28.699,1.91,0.0683,-9.33,0.3998,0.0000,0.1034,0.0463
28.838,1.74,0.0201,-11.89,0.5095,0.0000,0.1284,0.0618
28.939,1.88,0.0000,-13.25,0.5677,0.0000,0.1419,0.0750
29.040,1.32,0.0000,-14.21,0.6091,0.0000,0.1523,0.0883
29.159,0.71,0.1229,-12.57,0.5386,0.0000,0.1408,0.1039
29.292,1.88,0.0000,-15.03,0.6440,0.0000,0.1610,0.1190
29.434,1.20,0.0664,-12.38,0.5306,0.0000,0.1360,0.1299
29.563,1.43,0.0000,-13.16,0.5639,0.0000,0.1410,0.1380
29.673,1.91,0.0000,-14.07,0.6031,0.0000,0.1508,0.1432
29.773,1.85,0.0162,-13.55,0.5809,0.0000,0.1460,0.1472
29.873,1.67,0.0165,-14.90,0.6386,0.0000,0.1605,0.1506
30.003,1.99,0.0309,-14.70,0.6300,0.0000,0.1591,0.1514
30.127,2.22,0.0377,-14.96,0.6411,0.0000,0.1622,0.1532
30.229,2.80,0.0462,-14.26,0.6112,0.0000,0.1551,0.1533
30.342,2.80,0.0715,-12.88,0.5519,0.0000,0.1415,0.1518
30.474,3.72,0.0000,-13.48,0.5779,0.0000,0.1445,0.1520
30.591,2.24,0.0332,-13.75,0.5895,0.0000,0.1490,0.1528
30.705,2.40,0.0000,-12.94,0.5547,0.0000,0.1387,0.1520
30.841,2.63,0.0456,-12.81,0.5490,0.0000,0.1395,0.1507
30.942,2.56,0.0398,-12.29,0.5265,0.0000,0.1336,0.1486
31.049,2.07,0.0000,-13.52,0.5793,0.0000,0.1448,0.1470
31.192,1.77,0.0000,-16.50,0.7071,0.0000,0.1768,0.1475
31.308,1.65,0.0000,-17.50,0.7499,0.0000,0.1875,0.1510
31.439,1.92,0.0000,-17.90,0.7671,0.0000,0.1918,0.1571
31.559,1.99,0.0000,-18.57,0.7958,0.0000,0.1990,0.1638
31.677,1.89,0.0000,-18.32,0.7851,0.0000,0.1963,0.1686
31.777,1.69,0.0000,-18.39,0.7880,0.0000,0.1970,0.1738
31.881,1.34,0.0116,-16.05,0.6880,0.0000,0.1726,0.1801
32.004,1.63,0.0529,-15.48,0.6636,0.0000,0.1685,0.1830
32.107,1.73,0.0000,-17.19,0.7369,0.0000,0.1842,0.1864
32.234,2.06,0.0184,-16.78,0.7193,0.0000,0.1807,0.1867
32.354,1.43,0.0402,-16.97,0.7273,0.0000,0.1838,0.1858
32.467,2.00,0.0000,-17.50,0.7499,0.0000,0.1875,0.1850
32.569,0.72,0.0000,-16.78,0.7191,0.0000,0.1798,0.1834
32.711,1.00,0.0000,-17.95,0.7691,0.0000,0.1923,0.1833
32.825,1.12,0.0000,-18.68,0.8006,0.0000,0.2001,0.1835
32.951,0.56,0.0275,-17.24,0.7388,0.0000,0.1861,0.1859
33.053,0.52,0.0000,-18.16,0.7784,0.0000,0.1946,0.1885
33.166,1.12,0.0280,-18.70,0.8013,0.0000,0.2017,0.1902
33.300,1.48,0.0000,-19.08,0.8176,0.0000,0.2044,0.1935
33.408,1.48,0.0000,-20.29,0.8697,0.0000,0.2174,0.1967
33.515,1.01,0.0000,-19.33,0.8286,0.0000,0.2072,0.1995
33.637,0.99,0.0000,-20.02,0.8578,0.0000,0.2145,0.2019
33.738,2.00,0.0000,-18.71,0.8017,0.0000,0.2004,0.2043
33.845,1.75,0.0000,-19.89,0.8523,0.0000,0.2131,0.2070
33.961,1.51,0.0000,-19.74,0.8459,0.0000,0.2115,0.2083
34.083,1.66,0.0000,-19.52,0.8364,0.0000,0.2091,0.2096
34.198,2.51,0.0000,-19.46,0.8338,0.0000,0.2084,0.2104
34.321,2.86,0.0000,-19.66,0.8427,0.0000,0.2107,0.2113
34.427,2.84,0.0000,-19.20,0.8229,0.0000,0.2057,0.2109
34.528,2.13,0.0000,-20.04,0.8587,0.0000,0.2147,0.2117
34.635,2.10,0.0000,-19.90,0.8529,0.0000,0.2132,0.2115
34.759,3.36,0.0000,-20.31,0.8703,0.0000,0.2176,0.2117
34.889,3.01,0.0000,-19.67,0.8430,0.0000,0.2107,0.2114
35.019,2.49,0.0000,-20.09,0.8610,0.0000,0.2153,0.2119
35.125,2.04,0.0000,-20.37,0.8729,0.0000,0.2182,0.2126
35.259,1.78,0.0000,-19.26,0.8252,0.0000,0.2063,0.2117
35.365,2.02,0.0000,-18.99,0.8139,0.0000,0.2035,0.2106
35.484,1.86,0.0000,-19.40,0.8313,0.0000,0.2078,0.2103
35.592,2.08,0.0000,-19.06,0.8170,0.0000,0.2043,0.2093
35.719,3.12,0.0000,-19.38,0.8307,0.0000,0.2077,0.2087
35.850,3.07,0.0000,-20.43,0.8755,0.0000,0.2189,0.2088
35.959,3.16,0.0000,-21.84,0.9362,0.0000,0.2340,0.2107
36.089,3.33,0.0000,-23.52,1.0000,0.0000,0.2500,0.2155
36.203,3.83,0.0000,-23.23,0.9957,0.0000,0.2489,0.2212
36.326,4.53,0.0000,-25.66,1.0000,0.0000,0.2500,0.2259
36.443,4.20,0.0000,-24.11,1.0000,0.0000,0.2500,0.2314
36.552,3.24,0.0000,-26.98,1.0000,0.0000,0.2500,0.2362
36.692,3.67,0.0000,-26.57,1.0000,0.0000,0.2500,0.2415
36.793,3.88,0.0000,-24.32,1.0000,0.0000,0.2500,0.2455
36.893,3.07,0.0000,-26.24,1.0000,0.0000,0.2500,0.2487
36.996,2.87,0.0000,-24.74,1.0000,0.0000,0.2500,0.2496
37.110,4.14,0.0000,-24.25,1.0000,0.0000,0.2500,0.2499
37.229,4.10,0.0000,-23.97,1.0000,0.0000,0.2500,0.2496
37.334,3.89,0.0000,-24.59,1.0000,0.0000,0.2500,0.2494
37.466,4.15,0.0000,-22.13,0.9482,0.0000,0.2371,0.2486
37.590,3.37,0.0000,-23.60,1.0000,0.0000,0.2500,0.2486
37.733,0.04,0.0000,-20.24,0.8676,0.0000,0.2169,0.2464
37.843,3.62,0.0000,-10.98,0.4704,0.0000,0.1176,0.2347
37.960,7.68,0.0000,-4.50,0.1929,0.0000,0.0482,0.2162
38.060,10.82,0.0000,-1.14,0.0489,0.0000,0.0122,0.1945
38.187,14.83,0.0000,3.34,0.2005,0.0000,0.0501,0.1660
38.293,15.45,0.0000,6.57,0.3943,0.0000,0.1106,0.1499
38.438,16.50,0.0000,9.47,0.5681,0.0000,0.2548,0.1485
38.546,17.30,0.0000,11.23,0.6739,0.0000,0.2798,0.1511
38.656,17.11,0.0000,11.18,0.6708,0.0000,0.2777,0.1557
38.772,16.44,0.0000,11.44,0.6866,0.0000,0.2814,0.1618
38.885,15.21,0.0000,11.38,0.6826,0.0000,0.2805,0.1817
38.996,14.99,0.0000,10.98,0.6586,0.0000,0.2748,0.2041
39.111,15.52,0.0000,10.65,0.6392,0.0000,0.2701,0.2373
39.242,15.95,0.0000,10.47,0.6283,0.0000,0.2674,0.2590
39.363,16.82,0.0000,10.46,0.6275,0.0000,0.2669,0.2732
39.497,16.63,0.0000,10.22,0.6130,0.0000,0.2638,0.2742
39.610,16.72,0.0000,9.65,0.5788,0.0000,0.2549,0.2713
39.731,16.82,0.0000,9.30,0.5583,0.0000,0.2501,0.2685
39.840,17.12,0.0000,9.02,0.5410,0.0000,0.2448,0.2636
39.960,17.37,0.0000,9.04,0.5425,0.0000,0.2456,0.2602
40.077,16.57,0.0000,9.06,0.5437,0.0000,0.2463,0.2574
40.186,16.92,0.0000,8.88,0.5325,0.0000,0.2436,0.2541
40.325,16.78,0.0000,8.58,0.5147,0.0000,0.2395,0.2507
40.445,16.50,0.0000,8.15,0.4893,0.0000,0.2335,0.2466
40.553,16.24,0.0000,8.38,0.5025,0.0000,0.2372,0.2440
40.665,16.72,0.0000,7.53,0.4516,0.0000,0.2068,0.2408
40.806,17.23,0.0000,6.47,0.3883,0.0000,0.1008,0.2266
40.927,15.48,0.0000,6.05,0.3628,0.0000,0.0907,0.2064
41.047,16.58,0.0000,6.07,0.3640,0.0000,0.0910,0.1857
